	hESC	HFF	A549	A673	B_cell	CD14-positive_monocyte	GM12878	GM23338	HCT116	HeLa-S3	HepG2	IMR90	K562	Karpas-422	MCF-7	MM1S	OCI-LY7	PC-3	PC-9	SK-N-SH	adrenal_gland	astrocyte	bipolar_neuron	body_of_pancreas_m54	breast_epithelium_f51	breast_epithelium_f53	cardiac_muscle_cell	endothelial_cell_of_umbilical_vein	esophagus_muscularis_mucosa_f51	esophagus_muscularis_mucosa_m54	esophagus_squamous_epithelium_f51	esophagus_squamous_epithelium_f53	esophagus_squamous_epithelium_m37	fibroblast_of_dermis	fibroblast_of_lung	foreskin_fibroblast	foreskin_keratinocyte	gastrocnemius_medialis_f51	gastrocnemius_medialis_f53	gastrocnemius_medialis_m37	gastrocnemius_medialis_m54	gastroesophageal_sphincter	heart_left_ventricle_f51	heart_left_ventricle_f53	hepatocyte	keratinocyte	lung	mammary_epithelial_cell	myotube	neural_progenitor_cell	osteoblast	ovary	pancreas	peyer_s_patch_f51	peyer_s_patch_f53	peyer_s_patch_m37	peyer_s_patch_m54	prostate_gland_m37	right_atrium_auricular_region_f51	right_atrium_auricular_region_f53	ris_mucosa_f51	sigmoid_colon_m37	sigmoid_colon_m54	skeletal_muscle_myoblast	smooth_muscle_cell	spleen_f51	spleen_f53	spleen_f54	stomach_f51	stomach_f53	stomach_m37	suprapubic_skin	testis_m37	thoracic_aorta	thyroid_gland_f51	thyroid_gland_m37	thyroid_gland_m54	tibial_artery_m37	tibial_nerve_f51	tibial_nerve_f53	tibial_nerve_m37	tibial_nerve_m54	transverse_colon_f51	transverse_colon_f53	transverse_colon_m37	upper_lobe_of_left_lung_f51	upper_lobe_of_left_lung_f53	upper_lobe_of_left_lung_m37	upper_lobe_of_left_lung_m54	uterus_f53	vagina_f51
DNase_seq	0.5306131127663126	8.66643514523964	9.39166323613217	6.492898073350989	5.762022340616491	5.61769836345297	5.591857437746223	5.9542253897888004	8.285073392947272	6.221127466440953	7.584565933600943	5.596966574177464	5.597733066686252	5.649371640024235	7.796424658352322	8.195248042678786	5.6157661189149515	6.11468361004969	7.684482344448349	5.865968420798977	6.400151952333452	6.504142331155312	6.032865088928076	5.586750370453951	5.592530667273299	0.35021524411421684	6.192755335837661	6.181022724188693	5.590702679835755	0.3631570498233263	5.6213030968432784	0.05003854815153421	5.624237827397456	5.657999175997268	6.848936466781976	5.759412935653242	6.192507789961358	5.599845604691381	5.595478511529217	5.594188183499957	5.587786080986697	0.35611827254237344	0.3655011413816786	5.770612693139684	5.724826237321815	5.578158489422506	0.3889075521896553	7.793151547731418	6.653430695349442	5.601054344056106	5.534508269294899	5.604304935830084	5.79620721805485	5.654454518739168	5.579800456542455	5.66172289989951	5.6787359118091345	5.677918491473867	5.780503701598048	5.731676253586237	5.590702679835755	0.3712746168652466	5.801102294862583	6.895615045261496	5.604155489041454	0.3741079027851294	5.65006061043871	5.6009468573706025	5.591516096537322	5.583540441938567	5.5994078150440485	5.61486080866672	5.588219414770263	0.3733093026533336	5.587231792279738	5.711804772741804	5.5824342404247735	5.688118688742398	5.799240296371793	5.5879704956493805	5.640321725540433	5.630280459282189	5.75867685979656	5.580268685998315	5.594527351582561	5.808390929890052	5.623788398415203	5.604572827695835	5.667619922463199	5.658880131582351	5.601316492986655
CTCF	0.8958373692328812	1.1315725078824448	1.3055127001397544	0.7603766880227316	0.7652674276723775	0.7419550542462072	1.1659444307673816	0.7506631493526248	0.7506376473451617	0.7239470081040694	0.7986573449945826	0.8047164609576234	0.9069194098977648	0.5370028650411124	0.795305633263652	0.7470547448647656	0.7691331781359428	0.8012324684632697	0.7250174011090348	0.7029077543725206	0.7944274844531142	0.7649519292266865	0.9672678875830885	0.6699876523030286	0.7002367134871722	0.6523506425451381	0.7189084297914496	0.8952877079689394	0.6664109239510295	0.6812674600676575	0.6536371211381746	0.6650922565299167	0.7092112370263899	0.9036707801451976	0.7521831050626608	0.8299702460932031	0.8217914853907045	0.6405806466181113	0.7698272488591217	0.6983124566130946	0.7018215909980852	0.6771532642147109	0.6705577572272844	0.7964879002826737	0.721977641246713	1.6607707744427487	0.8294437238877844	0.8966695068711984	0.8192498670634267	0.6838430974306116	0.7890356911269201	0.7390169347806986	1.0082567600920458	0.6670710804510912	0.8384267569497329	0.7637444735705543	0.686317266474112	0.6716428890944695	0.6567326205015946	0.6753650341276676	0.6664109239510295	0.6759735218472109	0.6675088586472308	2.902170710505051	0.6868202157563744	0.6582370181228488	0.6417798135367201	0.641960933689913	0.6454166689301382	0.6593568802194966	0.6878556876146069	0.6771435361691648	0.6750564340953127	0.7095988735977754	0.810718331348522	0.6956994218505634	0.7358420747302724	0.6886043831017885	0.6766122056391031	0.6914693399514811	0.799606347081522	0.6734537794283083	0.6315975540620851	0.6652036525427096	0.6699696153405919	0.6663472376552512	0.6724224944087683	0.8051310896705931	0.6729537608507679	0.6759112320090916	0.671438975144905
H3K4me1	1.1581864287903914	0.8798315933974021	0.47010296724561595	0.9045037971213844	0.8801449989782842	0.8849064793225675	0.9775413931436845	0.8587126222942392	0.873919301705023	0.8748137047196911	0.9557560110919221	1.4749312635179403	0.987481140228433	0.9645792168447367	0.9085850949518751	0.8529206106560882	1.0578187866080957	0.9689320414966452	0.8145526713017469	0.7969260607530726	0.8129577239311155	0.9270356206814382	0.7892490416623028	0.7894282185466723	0.7452564577734204	0.7748077306493688	0.7848365344291174	1.1119370906160915	0.7594624936378127	0.7810044342430377	0.7387648436815611	0.748681791542933	0.7655456610391767	1.0694060250550903	1.0469102729297548	0.7762370015662056	1.6867116965756515	0.7515413458466655	0.8136452527324783	0.8110030438231041	0.814594111661698	0.7547814023071722	0.7614585108075237	0.7328823631966858	0.7998454035757792	1.1143920539858283	0.9308901195399858	0.8567859008974572	0.9992085609521726	0.7499842325826178	0.9483702638045749	1.0955889993154357	1.0473352428410296	0.7476735995321968	0.8011870254841336	0.7605738150168384	0.7650952802780456	0.7458794188508446	0.7405764797986544	0.7809500166965435	0.7594624936378127	0.7531108322340773	0.7643743366368861	1.0809019644918052	0.7678993636124775	0.7460034823616867	0.7264010305838228	0.7252546762120534	0.7362679183518847	0.7470334469688149	0.7548308913490477	0.7629885832449932	0.7588255638894967	0.8157646266384714	0.756600913866145	0.7982345539547284	0.8591544318308867	0.7837611629827269	0.7510186065023428	0.7886347427155712	0.7552353419382818	0.7559877571445306	0.7348625528634989	0.7545373522042693	0.7548658770976359	0.752526832880238	0.7607178199914931	0.7664493237943445	0.7596282837661067	0.7671739272086893	0.754570485452728
H3K4me3	1.5047124882552232	0.7488274037820993	1.063591483181213	0.9527287627306456	0.8612750202403692	1.7461091650485283	0.8311363002780208	0.9041092790794875	0.8972583578260627	0.8771222326714491	0.9105098599957852	2.679052552696037	0.9938566704637007	0.9538944280356714	0.9333625565900897	0.8985180762418121	1.2097770903472644	0.9934083319210735	0.8624482638517533	0.8092563546699978	0.8539442034969136	0.9570149814982407	0.8246779744126331	0.8023498211884388	0.7518298431942868	0.8768595423758954	0.8430368423307739	0.9369610560088758	0.7754102416377412	0.8169899592931278	0.7912506979863966	0.8240970786291031	0.7893007770423608	0.9894723964879868	0.848426659124998	0.7762759261685529	1.7621500421917402	0.8148767322896187	0.9230963170678359	0.8252075932536928	0.8337590480201085	0.7653401841465793	0.8052858718992695	0.7785518820553763	0.8357675328983643	0.9124546443157935	0.9589614392909553	1.1052614980820998	1.0247722734283398	0.8180635043533888	0.9190723922444433	1.3192746101340245	1.031146108266743	0.784026020150775	0.8299283654963185	0.845473642642119	0.8223929882184128	0.7605056815100392	0.7570340627646612	0.8460706535483223	0.7754102416377412	0.8066229437581117	0.8128828448191037	1.0229361158948194	0.8298098104591282	0.8006216557361691	0.763252537047674	0.7538860856726383	0.7619219196645005	0.7848510200845737	0.8170196969250648	0.8153449225522212	0.8016551136573319	0.8657760495821238	0.830399072184674	0.8421648077885676	0.8627769677060201	0.8539108453981238	0.8172136521214404	0.8275342224984441	0.8085578509043184	0.8056660482461863	0.7594057725450037	0.780044016431035	0.8279328601642225	0.8092651975153453	0.8058118629906673	0.7869402148597581	0.7952185245519965	0.8279859057838513	0.8128619094293386
H3K27ac	1.0868103150169606	0.9260320474986441	0.16271865246062037	0.8823017088963578	0.8593613005477218	0.8798823220243462	1.0161415292658478	0.8424669780728763	0.8850922806479936	0.8239263186706156	1.0232644469250525	1.9864706821144387	1.1443081757934577	1.0427805974377946	0.9109735299535384	0.8822096161203322	1.1960497951309819	1.0234495339491636	0.8572367176864341	0.8741638735856485	0.8015146852185286	1.0087831908098353	0.8394390411288797	0.8162762855533818	0.7250534026359154	0.8193213738211884	0.7966471296401543	1.2439483372851465	0.7279859721081672	0.7802021812642375	0.7498767581734364	0.7685115479408998	0.7595888158122964	0.9569735519401227	1.0560612765827375	0.8471069933632406	0.8468632782784316	0.7734135247838575	0.8977197579401434	0.8087259352430771	0.870175747820281	0.7482576942036965	0.7559004004392241	0.7415122738278082	0.8218763503628077	1.0967578233160178	0.9267705050563032	0.9832071992140787	1.1171628671252796	0.7483110706001675	0.9582349842858098	1.283712683105111	1.0963211610990948	0.7455390686845733	0.7992842176733438	0.7841663647393395	0.7760488710182184	0.7215530893946548	0.7140368802647418	0.8380020095212172	0.7279859721081672	0.7755488999033281	0.7812742902746443	1.165361243028403	0.814921933858786	0.7570824137781851	0.7269896780018503	0.7073804368676166	0.7214360411955307	0.7510503228655018	0.7666361728169916	0.7651794442665263	0.757642910197778	0.8625128552204956	0.7705113418597833	0.7985270433187283	0.8477009565718724	0.8043806452012989	0.7648579798324262	0.8237706017624	0.7522353819383905	0.7582986007419843	0.7276457810976087	0.779743922355433	0.782725844220225	0.7702242829901127	0.7719371390769673	0.7420156843768928	0.7534508660745357	0.7993269944403706	0.7566598106073783
H3K27me3	1.17398252616939	0.8709294978623351	1.0396284060049228	0.9815350699436463	1.020063186748554	1.1466224934904305	1.2234586739261475	0.9761958429352935	1.0040228925704957	0.9904825311833534	1.0396107229769975	1.1339952997771907	1.0705550281438299	0.9901493188794817	1.0313807158024666	1.0016128620188993	0.4851182514246975	1.0272090511255259	0.9438019105378239	0.9115519672016291	1.184656253455937	0.9824028479157619	0.8985435485538608	0.9201981715831004	0.8920019844427312	0.9360595210836297	0.9232488323217817	1.0794711473168315	0.9446164311421108	0.909442082213905	0.9088326588181066	0.9051338574486291	0.9031719259696922	1.117893257404696	1.0944366158253225	0.9363523414197849	1.1859653851580392	0.8934725951836028	0.9165550263049631	0.9457953590628527	0.9373401553109489	0.8984507736248116	0.9112217088644383	0.8794053103756654	0.9198711507519022	1.1846667275223683	1.0494579838088698	1.0149532631870466	0.9994973040721449	0.9077256018452269	1.004763801879185	1.026138608167093	1.0802293513760954	0.9449591376082901	0.9302020618390066	0.9445972356586604	0.9684732559534699	0.8704167848541624	0.9081941331582567	0.9246003163799461	0.9446164311421108	0.8755343159289527	0.9119234755551865	1.1083790720936768	0.9008082754433764	0.872745235658063	0.8861067379732587	0.8774618968530311	0.9243005723660077	0.8840207547768165	0.8982799339221175	0.9221943450009747	0.9293509168232716	0.9192662636831246	0.900784873764579	0.9752447475027679	0.9796077793905558	0.9179383750234404	0.952210558015559	0.9152262664607175	0.9075088602375924	0.9450630122400672	0.8684993259176905	0.8534104051338144	0.8853063707091503	0.9425184596305737	0.9637066770983705	0.9266385479609295	0.8811550465500083	0.9116850916580265	0.8689524032328557
